 78718612,     717,  981856
 78735928,     718,  978802
 78753245,     719,  977378
 78770561,     720,  974588
 78866665,     721,  972520
 79058874,     723,  970102
 79154978,     724,  968728
 79251082,     725,  968070
 79347187,     726,  965832
 79539395,     728,  964048
 79731603,     730,  963132
 79827708,     731,  962092
 79923812,     732,  961934
 80019916,     733,  960578
 80212125,     735,  959224
 80404333,     737,  959080
 80500437,     738,  958482
 80596542,     739,  956374
 80980958,     743,  955916
 81173167,     745,  955082
 81365375,     747,  954704
 81461480,     748,  953128
 81749792,     751,  952392
