 78701296,     716,  971928
 78718612,     717,  968714
 78735928,     718,  964798
 78753245,     719,  963170
 78770561,     720,  960988
 78866665,     721,  959184
 78962770,     722,  958732
 79058874,     723,  956876
 79154978,     724,  955894
 79251082,     725,  954088
 79347187,     726,  953608
 79443291,     727,  952442
 79539395,     728,  951102
 79635499,     729,  950592
 79731603,     730,  949146
 79827708,     731,  948540
 79923812,     732,  948112
 80019916,     733,  947468
 80116020,     734,  945650
 80212125,     735,  945432
