 78701296,     716,  965714
 78718612,     717,  964056
 78735928,     718,  961692
 78753245,     719,  957788
 78770561,     720,  952956
 78866665,     721,  951930
 78962770,     722,  951030
 79154978,     724,  948698
 79251082,     725,  947646
 79347187,     726,  947372
 79443291,     727,  945760
 79539395,     728,  944508
 79635499,     729,  943500
 79731603,     730,  942752
 79827708,     731,  941304
 79923812,     732,  940276
 80019916,     733,  939348
 80116020,     734,  937714
 80212125,     735,  936752
 80308229,     736,  936274
 80404333,     737,  935688
 80596542,     739,  933630
 80788750,     741,  932710
 80980958,     743,  931312
 81077063,     744,  930128
 81173167,     745,  927824
 81269271,     746,  927640
 81461480,     748,  927430
 81557584,     749,  927246
 81653688,     750,  927210
 81653688,     750,  927210
 81653688,     750,  927210
 81749792,     751,  926716
 81942001,     753,  926384
 82134209,     755,  926072
 82230313,     756,  925806
 82422522,     758,  925672
 82614730,     760,  925346
 82806939,     762,  924718
 82999147,     764,  924690
 83095252,     765,  924434
 83191356,     766,  924418
 83287460,     767,  924216
 83383564,     768,  924112
 83575773,     770,  923754
 83671877,     771,  923644
 83767981,     772,  923458
 83864085,     773,  923114
 84056294,     775,  922744
 84344607,     778,  922526
 84440711,     779,  922330
 84536815,     780,  922084
 84729024,     780,  921826
 84921232,     780,  921552
 85017336,     780,  921494
 85113440,     780,  921134
 85209545,     780,  920800
 85401753,     780,  920500
 85593962,     780,  920228
 85786170,     780,  920194
 85882274,     780,  919716
 85978379,     780,  919604
 86170587,     780,  919362
 86362795,     780,  919130
 86555004,     780,  918650
 86651108,     780,  918378
 86651108,     780,  918378
 86747212,     780,  918094
 86843317,     780,  918084
 87131629,     780,  917338
